29625019,"Serum levels of beta-hydroxybutyrate and pyruvate, metabolic changes and cognitive function in patients with schizophrenia during antipsychotic treatment: a preliminary study.","BACKGROUND: beta-hydroxybutyrate (beta-HB) and pyruvate have been associated with the brain energy utilization, which may play a role in the pathophysiology of schizophrenia. In this prospective study, we aim to investigate the trends of beta-HB and pyruvate levels, metabolic changes, and cognitive function in schizophrenia patients receiving antipsychotic treatment. OBJECTIVE: We recruited 38 schizophrenia patients who had been treated with antipsychotics for 12 weeks, as well as 38 healthy age- and gender-matched subjects. Blood samples were taken from the patients at baseline and week 12 to determine the serum levels of beta-HB, pyruvate, and metabolic parameters, while blood samples of the healthy controls were taken at baseline. We evaluated the psychopathology using the Positive and Negative Syndrome Scale and cognitive function using the Brief Assessment of Cognition in Schizophrenia. RESULTS: During the 12-week follow-up period, the beta-HB levels in patients with schizophrenia showed a decreasing trend, particularly in those undergoing treatment with aripiprazole or ziprasidone. The serum levels of beta-HB in patients at baseline and week 12 were both higher than the levels in the healthy controls. Among the schizophrenia patients, changes in beta-HB were positively correlated with changes in executive function. On the other hand, serum pyruvate levels remained steady during the 12-week follow-up period, and we found no significant correlation between pyruvate changes and changes in cognitive function or clinical symptoms. CONCLUSION: Our findings indicate that beta-HB may possess a potential indicator of energy utilization and have a protective role in executive function in patients with schizophrenia. Additional longitudinal studies with a larger sample size and longer follow-up periods are necessary to identify the relationship of metabolite regulation and cognitive function during schizophrenia patients' exposure to antipsychotics.",0,castrated male sheep,animal,Animal – Other Mammal,"gene expression, NS",Other / Unspecified,hypothalamus; pituitary,Brain/CNS; Pituitary,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan","beta-hydroxybutyric acid sodium salt solution (BHB; 12,800 micromol/l)",Exogenous BHB (unspecified/free acid); NS,NS
29649104,Beta-hydroxybutyrate infusion identifies acutely differentially expressed genes related to metabolism and reproduction in the hypothalamus and pituitary of castrated male sheep.,"To identify molecular pathways that couple metabolic imbalances and reproduction, we randomly assigned 10 castrated male sheep to be centrally injected into the lateral ventricle through intracerebroventricular cannulas with 1 ml of beta-hydroxybutyric acid sodium salt solution (BHB; 12,800 micromol/l) or saline solution (CON; 0.9% NaCl). Approximately 2 h postinjection, sheep were humanely euthanized, and hypothalamus and pituitary tissues were harvested for transcriptome characterization by RNA sequencing. RNA was extracted from the hypothalamus and pituitary and sequenced at a high depth (hypothalamus: 468,912,732 reads; pituitary: 515,106,092 reads) with the Illumina Hi-Seq 2500 platform and aligned to Bos taurus and Ovis aries genomes. Of the total raw reads, 87% (hypothalamus) and 90.5% (pituitary) mapped to the reference O. aries genome. Within these read sets, ~56% in hypothalamus and 69% in pituitary mapped to either known or putative protein coding genes. Fragments per kilobase of transcripts per million normalized counts were averaged and ranked to identify the transcript expression level. Gene Ontology analysis (DAVID Bioinformatics Resources) was utilized to identify biological process functions related to genes shared between tissues, as well as functional categories with tissue-specific enrichment. Between CON- and BHB-treated sheep, 11 and 44 genes were differentially expressed (adj. P < 0.05) within the pituitary and hypothalamus, respectively. Functional enrichment analyses revealed BHB altered expression of genes in pathways related to stimulus perception, inflammation, and cell cycle control. The set of genes altered by BHB creates a foundation from which to identify the signaling pathways that impact reproduction during metabolic imbalances.",SLC2A2; MAFA; NEUROD1,aged rats; primary human islets,animal; in vitro,Animal – Rat; In vitro – Primary cells,"mitochondrial function, up",Mitochondrial Function & Bioenergetics,primary human islets,Pancreas,beta-cells,Pancreatic Endocrine,β-cells (islet),mitochondria,Mitochondria,Unspecified,Diabetes mellitus,Metabolic & Endocrine,"beta-cell function, up","Insulin secretion, up",chronic treatment,NS,NS
29662437,Coordination of GPR40 and Ketogenesis Signaling by Medium Chain Fatty Acids Regulates Beta Cell Function.,"Diabetes prevalence increases with age, and beta-cell dysfunction contributes to the incidence of the disease. Dietary lipids have been recognized as contributory factors in the development and progression of the disease. Unlike long chain triglycerides, medium chain triglycerides (MCT) increase fat burning in animal and human subjects as well as serum C-peptide in type 2 diabetes patients. We evaluated the beneficial effects of MCT on beta-cells in vivo and in vitro. MCT improved glycemia in aged rats via beta-cell function assessed by measuring insulin secretion and content. In beta-cells, medium chain fatty acid (MCFA)-C10 activated fatty acid receptor 1 FFAR1/GPR40, while MCFA-C8 induced mitochondrial ketogenesis and the C8:C10 mixture improved beta cell function. We showed that GPR40 signaling positively impacts ketone body production in beta-cells, and chronic treatment with beta-hydroxybutyrate (BHB) improves beta-cell function. We also showed that BHB and MCFA help beta-cells recover from lipotoxic stress by improving mitochondrial function and increasing the expression of genes involved in beta-cell function and insulin biogenesis, such as Glut2, MafA, and NeuroD1 in primary human islets. MCFA offers a therapeutic advantage in the preservation of beta-cell function as part of a preventative strategy against diabetes in at risk populations.",NLRP3; TXNIP; DNM1L,mice; SH-SY-5Y cells,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"ER stress, down",General Stress Responses,brain,Brain/CNS,SH-SY-5Y cells,Unspecified / Mixed,Cell line (origin unclear),mitochondria,Mitochondria,Unspecified,Ischemic stroke,Cerebrovascular / Stroke,"tolerance to MCAO/R, up","Ischemia-reperfusion injury severity, up",KD; BHB (10 mM),Ketogenic diet (endogenous); In vitro media supplementation,NS
29679541,Ketogenic Diet Improves Brain Ischemic Tolerance and Inhibits NLRP3 Inflammasome Activation by Preventing Drp1-Mediated Mitochondrial Fission and Endoplasmic Reticulum Stress.,"Background: Neuroprotective effects of ketogenic diets (KD) have been reported in stroke models, and nucleotide-binding domain (NOD)-like receptor protein 3 (NLRP3) inflammasome has also been implicated in the pathogenesis of stroke. This study aimed to investigate the effects of KD on NLRP3 inflammasome and explore the potential molecular mechanisms. Methods: In in vivo study, mice were fed with KD for 3 weeks and then subjected to middle cerebral artery occlusion/reperfusion (MCAO/R)-injury. In in vitro study, SH-SY-5Y cells were treated with beta-hydroxybutyrate (BHB) followed by oxygen-glucose deprivation/reoxygenation (OGD/R). NLRP3 inflammasome activation and related regulatory mechanisms were evaluated. Results: Mice fed with KD had increased tolerance to MCAO/R. KD inhibited endoplasmic reticulum (ER) stress and suppressed TXNIP/NLRP3 inflammasome activation in the brain. The in vitro study showed BHB (10 mM) prevented the mitochondrial translocation of dynamin-related protein 1 (Drp1) to inhibit mitochondrial fission. Furthermore, BHB decreased reactive oxygen species (ROS) generation, inhibited ROS-NLRP3 pathway in OGD/R-treated cells, and suppressed ER stress-induced NLRP3 inflammasome activation. Conclusions: KD may suppress ER stress and protect mitochondrial integrity by suppressing the mitochondrial translocation of Drp1 to inhibit NLRP3 inflammasome activation, thus exerting neuroprotective effects. Our findings provide evidence for the potential application of KD in the prevention of ischemic stroke.",TNNI3; 0; LDHA; MAP1LC3B; SQSTM1; LAMP2,male adult mice,animal,Animal – Mouse,"autophagic flux, up",Cell Death & Survival,myocardium,Heart,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Ischemia-reperfusion injury,Injury & Trauma,"infarct size, down; cardiac function, up","Infarct size, down; Cardiac function, up",exogenous BHB via subcutaneous osmotic pumps (1.6 mmol/kg/24 h),Subcutaneous BHB,D-BHB
29705237,Treatment with D-beta-hydroxybutyrate protects heart from ischemia/reperfusion injury in mice.,"The present study was designed to examine the protection of D-beta-hydroxybutyrate (BHB) against ischemia/reperfusion (I/R) injury in heart and investigate its underlying mechanism. Male adult mice were exposed to 30 min of ischemia and 24 h of reperfusion. Osmotic pumps were implanted subcutaneously 5 min before reperfusion for continuous delivery of the exogenous BHB (1.6 mmol/kg/24 h). Treatment with BHB reduced infarct size and levels of cardiac troponin I, creatine kinase and lactate dehydrogenase in serum, attenuated apoptosis in myocardium, and preserved cardiac function of I/R mice. Importantly, treatment of I/R mice with BHB promoted autophagic flux, evidenced by reduced the ratio of LC3-II/LC3-I and protein expression of p62 and enhanced protein expression of lysosome associated membrane protein-2 (Lamp2) in myocardium. Treatment of I/R mice with BHB reduced mitochondrial formation of reactive oxygen species, enhanced adenosine triphosphate production, attenuated mitochondrial swelling, and partly restored mitochondrial membrane potential in myocardium. Furthermore, treatment of I/R mice with BHB abated oxidative stress and attenuated endoplasmic reticulum stress in myocardium. Our results indicated that treatment with exogenous BHB protected heart from I/R injury in mice.",IL10; 0; GPT,humans with AH; mice (ethanol-induced AH); bone marrow derived macrophages,human; animal; in vitro,Human – Observational/Patient samples; Animal – Mouse; In vitro – Primary cells,"mitochondrial membrane potential, down",Mitochondrial Function & Bioenergetics,liver,Liver,intrahepatic macrophages,Hematopoietic / Immune,Macrophages,mitochondria,Mitochondria,Unspecified,Hepatitis,Gastrointestinal & Hepatobiliary,"alcohol-induced liver injury, down","Liver injury, down",supplementation of BHB,NS,NS
29730171,beta-Hydroxybutyrate protects from alcohol-induced liver injury via a Hcar2-cAMP dependent pathway.,"BACKGROUND & AIMS: Sterile inflammation resulting in alcoholic hepatitis (AH) occurs unpredictably after many years of excess alcohol intake. The factors responsible for the development of AH are not known but mitochondrial damage with loss of mitochondrial function are common features. Hcar2 is a G-protein coupled receptor which is activated by beta-hydroxybutyrate (BHB). We aimed to determine the relevance of the BHB-Hcar2 pathway in alcoholic liver disease. METHODS: We tested if loss of BHB production can result in increased liver inflammation. We further tested if BHB supplementation is protective in AH through interaction with Hcar2, and analyzed the immune and cellular basis for protection. RESULTS: Humans with AH have reduced hepatic BHB, and inhibition of BHB production in mice aggravated ethanol-induced AH, with higher plasma alanine aminotransferase levels, increased steatosis and greater neutrophil influx. Conversely supplementation of BHB had the opposite effects with reduced alanine aminotransferase levels, reduced steatosis and neutrophil influx. This therapeutic effect of BHB is dependent on the receptor Hcar2. BHB treatment increased liver Il10 transcripts, and promoted the M2 phenotype of intrahepatic macrophages. BHB also increased the transcriptional level of M2 related genes in vitro bone marrow derived macrophages. This skewing towards M2 related genes is dependent on lower mitochondrial membrane potential (Deltapsi) induced by BHB. CONCLUSIONS: Collectively, our data shows that BHB production during excess alcohol consumption has an anti-inflammatory and hepatoprotective role through an Hcar2 dependent pathway. This introduces the concept of metabolite-based therapy for AH. LAY SUMMARY: Alcoholic hepatitis is a life-threatening condition with no approved therapy that occurs unexpectedly in people who consume excess alcohol. The liver makes many metabolites, and we demonstrate that loss of one such metabolite beta-hydroxybutyrate occurs in patients with alcoholic hepatitis. This loss can increase alcohol-induced liver injury, and beta-hydroxybutyrate can protect from alcohol-induced liver injury via a receptor on liver macrophages. This opens the possibility of metabolite-based therapy for alcoholic hepatitis.",0,middle temporal gyrus slices from two male children (26 months; 35 months); 0-Mg2+/high-K+ in vitro epilepsy model; propionate model,human; in vitro,Human – Observational/Patient samples; NS; In vitro – Primary cells,"intracellular pH reduction, down",Ion & Nutrient Transport,neocortex,Brain/CNS,cortical neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"epileptiform discharge frequency, down; epileptiform discharge duration, up","Seizure activity, down; Seizure activity, up",DL-beta-hydroxybutyrate (10 mM),Exogenous BHB (unspecified/free acid),racemic
29748663,Small intraneuronal acidification via short-chain monocarboxylates: First evidence of an inhibitory action on over-excited human neocortical neurons.,"AIMS: In cortical mammalian neurons, small fluctuations of intracellular pH (pHi) play a crucial role for inter- and intracellular signaling as well as for cellular and synaptic plasticity. Yet, there have been no respective data about humans. Thus, we investigated the interrelation of pHi and excitability of human cortical neurons. MATERIALS AND METHODS: Intracellular electrophysiological and pH-recordings were made in neurons in slices taken from brain tissue resected from the middle temporal gyrus of two male children (26 months and 35 months old) who suffered from pharmacotherapy-resistant temporal lobe epilepsy. To excite the tissue (n = 13), we used the 0-Mg2+/high-K+-in vitro epilepsy model producing robust epileptiform discharges (ED). To evoke an intracellular acidification (n = 12), we used the well-established propionate-model and applied 10 mM propionate to the bath solutions. In addition, we recorded the effects of other strongly related short-chain monocarboxylates (l-lactate (10 mM) and the ketone body DL-beta-hydroxybutyrate (10 mM)) on ED and pHi. KEY FINDINGS: The ED-frequency was reversibly reduced by propionate (n = 5), l-lactate (n = 5), or DL-beta-hydroxybutyrate (n = 3), while the durations of EDs and their after-depolarizations increased. In parallel experiments, all three short-chain monocarboxylates (each n = 4) lowered the pHi of the neurons (n = 12) by 0.05-0.07 pH units which was temporally related to the reported changes in bioelectric activity. SIGNIFICANCE: A mild drop of the intraneuronal pH was associated with the control of even over-excited human neocortical tissue. This is identical with prior observations in non-human mammalian cortical neurons. Possible implications for neuroplasticity and the treatment of neuropsychiatric disorders are discussed.",KCNQ3,human KCNQ3; human KCNQ5,in vitro,Human – Observational/Patient samples,"voltage-dependence shift, NS",Ion & Nutrient Transport,NS,NS,neuron,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",endogenous metabolite,NS,NS
29771336,Direct neurotransmitter activation of voltage-gated potassium channels.,"Voltage-gated potassium channels KCNQ2-5 generate the M-current, which controls neuronal excitability. KCNQ2-5 subunits each harbor a high-affinity anticonvulsant drug-binding pocket containing an essential tryptophan (W265 in human KCNQ3) conserved for >500 million years, yet lacking a known physiological function. Here, phylogenetic analysis, electrostatic potential mapping, in silico docking, electrophysiology, and radioligand binding assays reveal that the anticonvulsant binding pocket evolved to accommodate endogenous neurotransmitters including gamma-aminobutyric acid (GABA), which directly activates KCNQ5 and KCNQ3 via W265. GABA, and endogenous metabolites beta-hydroxybutyric acid (BHB) and gamma-amino-beta-hydroxybutyric acid (GABOB), competitively and differentially shift the voltage dependence of KCNQ3 activation. Our results uncover a novel paradigm: direct neurotransmitter activation of voltage-gated ion channels, enabling chemosensing of the neurotransmitter/metabolite landscape to regulate channel activity and cellular excitability.",FTO,mouse hypothalamus; cultured cells; FTOI367F mice; high-fat diet-induced obese mice; 48-h fasting mice,animal; in vitro,Animal – Mouse; In vitro – Primary cells,"promoter occupancy by FTO, up",Epigenetic Regulation,hypothalamus,Brain/CNS,cultured cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketogenic diet-derived ketone body,Ketogenic diet (endogenous),NS
29808353,FTO is a transcriptional repressor to auto-regulate its own gene and potentially associated with homeostasis of body weight.,"Fat mass and obesity-associated (FTO) protein is a ferrous ion (Fe2+)/2-oxoglutarate (2-OG)-dependent demethylase preferentially catalyzing m6A sites in RNA. The FTO gene is highly expressed in the hypothalamus with fluctuation in response to various nutritional conditions, which is believed to be involved in the control of whole body metabolism. However, the underlying mechanism in response to different nutritional cues remains poorly understood. Here we show that ketogenic diet-derived ketone body beta-hydroxybutyrate (BHB) transiently increases FTO expression in both mouse hypothalamus and cultured cells. Interestingly, the FTO protein represses Fto promoter activity, which can be offset by BHB. We then demonstrate that FTO binds to its own gene promoter, and Fe2+, but not 2-OG, impedes this binding and increases FTO expression. The BHB-induced occupancy of the promoter by FTO influences the assembly of the basal transcriptional machinery. Importantly, a loss-of-function FTO mutant (I367F), which induces a lean phenotype in FTOI367F mice, exhibits augmented binding and elevated potency to repress the promoter. Furthermore, FTO fails to bind to its own promoter that promotes FTO expression in the hypothalamus of high-fat diet-induced obese and 48-h fasting mice, suggesting a disruption of the stable expression of this gene. Taken together, this study uncovers a new function of FTO as a Fe2+-sensitive transcriptional repressor dictating its own gene switch to form an auto-regulatory loop that may link with the hypothalamic control of body weight.",0,rat hippocampal organotypic slice cultures,in vitro,Multi-model,"gamma oscillation frequency, up",Neurotransmission & Neuronal Plasticity,hippocampus,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",partial substitution of glucose with pyruvate and the ketone body beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
29850235,Metabolic modulation of neuronal gamma-band oscillations.,"Gamma oscillations (30-100 Hz) represent a physiological fast brain rhythm that occurs in many cortex areas in awake mammals, including humans. They associate with sensory perception, voluntary movement, and memory formation and require precise synaptic transmission between excitatory glutamatergic neurons and inhibitory GABAergic interneurons such as parvalbumin-positive basket cells. Notably, gamma oscillations are exquisitely sensitive to shortage in glucose and oxygen supply (metabolic stress), with devastating consequences for higher cognitive functions. Herein, we explored the robustness of gamma oscillations against changes in the availability of alternative energy substrates and amino acids, which is partially regulated by glial cells such as astrocytes. We used organotypic slice cultures of the rat hippocampus expressing acetylcholine-induced persistent gamma oscillations under normoxic recording conditions (20% oxygen fraction). Our main findings are (1) partial substitution of glucose with pyruvate and the ketone body beta-hydroxybutyrate increases the frequency of gamma oscillations, even at different stages of neuronal tissue development. (2) Supplementation with the astrocytic neurotransmitter precursor glutamine has no effect on the properties of gamma oscillations. (3) Supplementation with glycine increases power, frequency, and inner coherence of gamma oscillations in a dose-dependent manner. (4) During these treatments switches to other frequency bands or pathological network states such as neural burst firing or synchronized epileptic activity are absent. Our study indicates that cholinergic gamma oscillations show general robustness against these changes in nutrient and amino acid composition of the cerebrospinal fluid; however, modulation of their properties may impact on cortical information processing under physiological and pathophysiological conditions.",0,six healthy subjects,human,Human – Observational/Patient samples,"D-betaHB concentration, up",Metabolic Regulation,serum,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"gastrointestinal symptoms, up","Gastrointestinal symptoms, up",mixture of sodium and calcium D-/L-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
29852870,Effect of a Sodium and Calcium DL-beta-Hydroxybutyrate Salt in Healthy Adults.,"BACKGROUND: Ketone body therapy and supplementation are of high interest for several medical and nutritional fields. The intake of ketone bodies is often discussed in relation to rare metabolic diseases, such as multiple acyl-CoA dehydrogenase deficiency (MADD), that have no alternatives for treatment. Case reports showed positive results of therapy using ketone bodies. The number of ketone body salts offered on the wellness market is increasing steadily. More information on the kinetics of intake, safety, and tolerance of these products is needed. METHODS: In a one-dose kinetic study, six healthy subjects received an intervention (0.5 g/kg bw) using a commercially available ketone body supplement. The supplement contained a mixture of sodium and calcium D-/L-beta-hydroxybutyrate (betaHB) as well as food additives. The blood samples drawn in the study were tested for concentrations of D-betaHB, glucose, and electrolytes, and blood gas analyses were done. Data on sensory evaluation and observed side effects of the supplement were collected. The product also went through chemical food analysis. RESULTS: The supplement led to a significant increase of D-betaHB concentration in blood 2.5 and 3 h after oral intake (p=0.033; p=0.043). The first significant effect was measured after 2 h with a mean value of 0.598 +/- 0.300 mmol/L at the peak, which was recorded at 2.5 h. Changes in serum electrolytes and BGA were largely unremarkable. Taking the supplement was not without side effects. One subject dropped out due to gastrointestinal symptoms and two others reported similar but milder problems. CONCLUSIONS: Intake of a combination of calcium and sodium D-/L-betaHB salt shows a slow resorption with a moderate increase of D-betaHB in serum levels. An influence of betaHB salts on acid-base balance could not be excluded by this one-dose study. Excessive regular consumption without medical observation is not free of adverse effects. The tested product can therefore not be recommended unconditionally.",PPARGC1A; HMGCS2,elderly adults (healthy controls); AD patients (newly diagnosed); AD patients (donepezil responders); AD patients (donepezil nonresponders); mice,human; animal,Human – Observational/Patient samples; Animal – Mouse,"ketogenesis, up",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Alzheimer's disease,Neurodegenerative,"NS, nan","NS, nan",NS,NS,NS
29904341,Acetylcholinesterase Inhibitor Donepezil Effects on Plasma beta-Hydroxybutyrate Levels in the Treatment of Alzheimer's Disease.,"BACKGROUND: Alzheimer's disease (AD) is a complex neurodegenerative disorder characterized by a multi-factorial etiology that is not completely understood. Donepezil is a first-line acetylcholinesterase inhibitor used for the treatment of AD that has been found, in addition to its potent acetylcholinesterase inhibitory effect, to act through other non-cholinergic mechanisms such as affecting mitochondrial biogenesis through peroxisome proliferator-activated receptor gamma coactivator (PGC1alpha). Mitochondrial biogenesis and PGC-1alpha, at least in part, are associated with hepatic fatty acid oxidation and ketogenesis. Whether donepezil regulates ketogenesis in AD treatment remains unclear. Ketogenesis is important in the progression of AD and is a critical consideration during the therapeutic strategy selection for AD. Thus, our goals were to determine the differences in ketone bodies in patients with AD who were taking donepezil treatment and those who were not, to elucidate the potential effect of AD and donepezil therapy on ketone body metabolic parameters, and to discover the effect of donepezil therapy on ketogenesis in patients with AD. METHODS: Cross-sectional analysis was performed on plasma collected from 145 individuals, namely, elderly adults as healthy controls (n=30), newly diagnosed patients with AD (n=30), patients with AD who responded to donepezil therapy (n=48) and patients with AD who did not respond to donepezil therapy (n=37). Gas chromatography-mass spectrometry was performed to quantify the lipids in the plasma. The level of beta-hydroxybutyrate, a metabolite, was determined by liquid chromatographytandem mass spectrometry, and to gain further insight into the effect of donepezil on ketogenesis, the effects of donepezil were investigated in a mouse model. RESULTS: The level of beta-hydroxybutyrate decreased in AD patients, and donepezil elevated the plasma level of beta-hydroxybutyrate. Donepezil increased the plasma and liver levels of beta-hydroxybutyrate in mice as well as the hepatic expression of PGC-1alpha and the mitochondrial expression of HMG-CoA synthetase 2 (HMGCS2) in response to fasting, causing a subsequent increase in ketogenesis. CONCLUSIONS: Our study revealed that impaired ketogenesis is a metabolic feature of AD. Donepezil had effects on ketogenesis in mice and reversed the decrease in the level of beta-hydroxybutyrate found in patients with AD.",0,Drosophila TDP-43 model; TDP(WT); TDP(G298S),animal,Animal – Invertebrate; NS,"bypassing the carnitine shuttle deficit, positive",Metabolic Regulation,NS,NS,motor neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Amyotrophic lateral sclerosis,Neurodegenerative,"locomotor function, up","Locomotor activity, up",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
29936200,"Medium-Chain Fatty Acids, Beta-Hydroxybutyric Acid and Genetic Modulation of the Carnitine Shuttle Are Protective in a Drosophila Model of ALS Based on TDP-43.","ALS patients exhibit dyslipidemia, hypermetabolism and weight loss; in addition, cellular energetics deficits have been detected prior to denervation. Although evidence that metabolism is altered in ALS is compelling, the mechanisms underlying metabolic dysregulation and the contribution of altered metabolic pathways to disease remain poorly understood. Here we use a Drosophila model of ALS based on TDP-43 that recapitulates hallmark features of the disease including locomotor dysfunction and reduced lifespan. We performed a global, unbiased metabolomic profiling of larvae expressing TDP-43 (wild-type, TDP(WT) or disease-associated mutant, TDP(G298S)) and identified several lipid metabolism associated alterations. Among these, we found a significant increase in carnitine conjugated long-chain fatty acids and a significant decrease in carnitine, acetyl-carnitine and beta-hydroxybutyrate, a ketone precursor. Taken together these data suggest a deficit in the function of the carnitine shuttle and reduced lipid beta oxidation. To test this possibility we used a combined genetic and dietary approach in Drosophila. Our findings indicate that components of the carnitine shuttle are misexpressed in the context of TDP-43 proteinopathy and that genetic modulation of CPT1 or CPT2 expression, two core components of the carnitine shuttle, mitigates TDP-43 dependent locomotor dysfunction, in a variant dependent manner. In addition, feeding medium-chain fatty acids or beta-hydroxybutyrate improves locomotor function, consistent with the notion that bypassing the carnitine shuttle deficit is neuroprotective. Taken together, our findings highlight the potential contribution of the carnitine shuttle and lipid beta oxidation in ALS and suggest strategies for therapeutic intervention based on restoring lipid metabolism in motor neurons.",0,lethal rat hemorrhagic shock model,animal,Animal – Rat,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hemorrhagic shock,Injury & Trauma,"survival, up","Survival, up",d-beta-hydroxybutyrate and melatonin (BHB/MLT) infusion; BHB/MLT/DMSO; BHB/MLT/PVP; BHB/MLT/CD,Exogenous BHB (unspecified/free acid); Multi-source,D-BHB
29944604,Evaluation of novel formulations of d-beta-hydroxybutyrate and melatonin in a rat model of hemorrhagic shock.,"d-beta-hydroxybutyrate and melatonin (BHB/MLT) infusion improves survival in hemorrhagic shock models. The original BHB/MLT formulation contains dimethyl sulfoxide (DMSO) to increase melatonin solubility. We formulated BHB/MLT solutions wherein DMSO was replaced either with 10% polyvinylpyrrolidone (BHB/MLT/PVP) or with 5% hydroxypropyl-beta-cyclodextrin/2.5% PVP/2.5% polyethylene glycol 400 (BHB/MLT/CD). Safety and efficacy of the new and the original BHB/MLT solution were tested in a lethal rat hemorrhagic shock model, with seven groups: 1) sham, 2) shock, untreated, 3) shock, lactated Ringer's solution (LR), 4) shock, 4 M BHB/MLT/DMSO, 5) shock, 2 M BHB/MLT/DMSO, 6) shock, BHB/MLT/PVP and 7) shock, BHB/MLT/CD. BHB/MLT/DMSO was given at full strength and 1:1 dilution to match the concentration of the novel formulations. Rats were anesthetized, instrumented, and 40% of the total blood volume was withdrawn in three steps, followed by four-hour long shock. Treatment boluses were infused half-way throughout hemorrhage. Survival was highest in BHB/MLT/CD-treated rats (8/10), followed by the BHB/MLT/PVP (6/10), 4 M BHB/MLT/DMSO (5/10) or 2 M BHB/MLT/DMSO (5/10), LR (3/10) and the untreated group (0/11). Survival did not differ significantly between BHB/MLT groups (p > 0.05), but was significantly higher in BHB/MLT/CD than in LR-treated animals (p = 0.018). BHB/MLT/PVP and BHB/MLT/CD constitute promising candidates for clinical hemorrhagic shock treatment.",0,11 male team sport athletes,human,Human – Observational/Patient samples,"NS, nan",Other / Unspecified,plasma,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone ester (KE) supplement,Ketone ester (KE),NS
29953297,Intermittent Running and Cognitive Performance after Ketone Ester Ingestion.,"PURPOSE: Ingestion of exogenous ketones alters the metabolic response to exercise and may improve exercise performance, but it has not been explored in variable-intensity team sport activity, or for effects on cognitive function. METHODS: On two occasions in a double-blind, randomized crossover design, 11 male team sport athletes performed the Loughborough Intermittent Shuttle Test (part A, 5 x 15-min intermittent running; part B, shuttle run to exhaustion), with a cognitive test battery before and after. A 6.4% carbohydrate-electrolyte solution was consumed before and during exercise either alone (PLA) or with 750 mg.kg of a ketone ester (KE) supplement. Heart rate, RPE, and 15-m sprint times were recorded throughout, and serial venous blood samples were assayed for plasma glucose, lactate, and beta-hydroxybutyrate. RESULTS: KE resulted in plasma beta-hydroxybutyrate concentrations of ~1.5 to 2.6 mM during exercise (P < 0.001). Plasma glucose and lactate concentrations were lower during KE compared with PLA (moderate-to-large effect sizes). Heart rate, RPE, and 15-m sprint times did not differ between trials. Run time to exhaustion was not different (P = 0.126, d = 0.45) between PLA (mean = 268 s, 95% confidence interval [CI] = 199-336 s) and KE (mean = 229 s, 95% CI = 178-280 s). Incorrect responses in a multitasking test increased from pre- to postexercise in PLA (mean = 1.8, 95% CI = -0.6 to 4.1) but not in KE (mean = 0.0, 95% CI = -1.8 to 1.8) (P = 0.017, d = 0.70). CONCLUSION: Compared with carbohydrate alone, coingestion of a KE by team sport athletes attenuated the rise in plasma lactate concentrations but did not improve shuttle run time to exhaustion or 15-m sprint times during intermittent running. An attenuation of the decline in executive function after exhausting exercise suggests a cognitive benefit after KE ingestion.",0,apparently healthy non-aerobically trained participants (n=10),human,Human – Observational/Patient samples,"blood BHB concentration, up",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"walking economy, no-change; VO2, no-change; RER, no-change; energy expenditure, no-change; rating of perceived exertion, no-change","Exercise capacity, no-change; VO2max, no-change; Respiratory exchange ratio (RER), no-change; Energy expenditure, no-change",1 ounce of an exogenous BHB solution (KETO),Exogenous BHB (unspecified/free acid),NS
