PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
34605026,BDNF,adults with obesity (n=14),human,Human – Observational/Patient samples,"cerebral blood flow, up",Vascular Function & Angiogenesis,extracranial arteries,Vasculature,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Cognitive dysfunction,General Signs & Symptoms,"cognition, up","Cognition, up","ketone supplements containing beta-hydroxybutyrate, 30 mL (12 g) thrice-daily for 14 days",Exogenous BHB (unspecified/free acid),NS
34606529,HAMP; 0,people with new-onset prediabetes after acute pancreatitis; 18 participants; randomised controlled cross-over trial,human,Human – Observational/Patient samples; Human – Interventional,"NS, nan",Other / Unspecified,plasma,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Pancreatitis,Gastrointestinal & Hepatobiliary,"hepcidin levels, no-change; ferritin levels, no-change","Hepcidin levels, no-change; Ferritin, no-change",exogenous ketone monoester (beta-hydroxybutyrate),Multi-source,NS
34617412,POSTN,C57Bl/6N male mice; transverse aortic constriction (TAC) model,animal,Animal – Mouse,"cardiac fibrosis, down",Extracellular Matrix & Structural Remodeling,heart,Heart,cardiomyocyte,Muscle – Cardiac,Cardiomyocytes,NS,Unspecified / Generic,NS,Heart failure,Cardiovascular,"ejection fraction, up","Ejection fraction, up",(R)-3-hydroxybutyl-(R)-3-hydroxybutyrate [ketone ester (KE)] 20% in drinking water; acute intravenous BHB infusion,Ketone ester (KE); Intravenous BHB,NS
34652582,0,acute myocardial infarction patients; healthy volunteers; adult mouse cardiomyocytes (hypoxia-stimulated); myocardial infarction (MI) mice fed ketogenic diet (KD),human; animal; in vitro,Human – Observational/Patient samples; Animal – Mouse; Multi-model,"glycolysis, down",Metabolic Regulation,heart,Heart,cardiomyocytes,Muscle – Cardiac,Cardiomyocytes,NS,Unspecified / Generic,NS,Myocardial infarction,Cardiovascular,"cardiac function, down","Cardiac function, down",ketogenic diet (KD); beta-OHB treatment,Ketogenic diet (endogenous); Exogenous BHB (unspecified/free acid),NS
34719871,0,Drosophila melanogaster; mice fed a high-fat diet,animal,Animal – Invertebrate; Animal – Mouse,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"metabolic health, improved; memory, improved","Metabolic health, improved; Memory (general), improved",beta-hydroxybutyrate (betaOHB),Exogenous BHB (unspecified/free acid),NS
34753480,0,patients with stable CHF (LVEF 39.0 +/- 8.2%),human,Human – Observational/Patient samples,"impairment of endothelium-dependant relaxation, up",Vascular Function & Angiogenesis,vasculature,Vasculature,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Heart failure,Cardiovascular,"blood pressure, up","Blood pressure, up",empagliflozin treatment,NS,NS
34784103,0,betamethasone-NMDA rat model (prenatal betamethasone G15; NMDA P15),animal,Animal – Rat; NS,"ketogenesis, no-change",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Infantile spasms,Neurodevelopmental & Neuropsychiatric,"number of spasms, no-change; severity of spasms, no-change; progression of spasms, no-change","Seizure activity, no-change; Seizure severity, no-change","BHB (200 mg/kg, i.p.)",Intraperitoneal BHB,NS
34787952,0,healthy human volunteers (n=10),human,Human – Interventional,"L-alanine availability for gluconeogenesis, down",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"blood glucose, down","Blood glucose, down",25 g of d-beta-hydroxybutyrate in the form of a KE drink (DeltaG((R))),Multi-source,D-BHB
34798244,0,fasting healthy participants,human,Human – Interventional,"NS, nan",Other / Unspecified,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"left ventricular global longitudinal strain (GLS), up","Cardiac function, up",oral ketone ester,Ketone ester (KE),NS
34806114,0,children with new-onset type 1 diabetes; streptozotocin-induced diabetes mouse model; Fabp4(-/-) mice; wild-type mice,human; animal,Human – Observational/Patient samples; Animal – Mouse,"NS, nan",Other / Unspecified,adipose tissue,Adipose tissue,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetic ketoacidosis,Metabolic & Endocrine,"ketoacidosis, down","ketoacidosis, down",NS,NS,NS
34818540,0,SI crypts; Lgr5(+) stem cell-enriched epithelial spheroids; intestinal Hmgcs2 knockout,animal; in vitro,In vitro – Organoids/3D cultures; Animal – Mouse,"H3K9bhb enrichment, up",Epigenetic Regulation,small intestine (SI) crypts,Small intestine,Lgr5(+) stem cells,Stem / Progenitor / Pluripotent,Tissue-specific progenitors (unspecified),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",treated with beta-OHB in vitro; local production of beta-OHB,In vitro media supplementation; Ketogenic diet (endogenous),NS
34841761,0,HUVECs; macrophages,human; in vitro,In vitro – Primary cells; NS,"antioxidant pathway activation, up; histone deacetylase inhibition, down",Oxidative Stress & Antioxidant Defense; Epigenetic Regulation,vascular endothelial cells,Vasculature,HUVECs,Endothelial,Venous endothelial,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
34879647,0,293T cells; simulated Kbhb antibody (chemically modified in vitro),in vitro,In vitro – Immortalized cell line; In silico / Computational,"beta-hydroxybutyrylation (Kbhb), up",Epigenetic Regulation,plasma,Blood,293T cells,Unspecified / Mixed,Cell line (origin unclear),NS,Unspecified / Generic,NS,COVID-19,Infectious,"protection, up","Seizure protection, up",NS,NS,NS
34880753,0; SOD1; SIRT1; ACHE; ROS1; IL1B; TNF; NLRP3,D-gal-injured C57BL/6 mice; HT22 cells,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"SIRT1 pathway activation, up",Epigenetic Regulation,hippocampus,Brain/CNS,hippocampal neuronal cells (HT22),Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Memory impairment,Neurodegenerative,"water maze performance, up","Spatial memory, up",BHBA (administered intragastrically),Oral gavage / Intragastric bolus,NS
34901052,0,six healthy male athletes,human,Human – Observational/Patient samples,"betaHB oxidation, down",Metabolic Regulation,muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone ester (KE) containing a (13)C label,Ketone ester (KE),NS
34919457,VEGFA; 0,Dahl salt-sensitive (SS/Jr) rats,animal,Animal – Rat,"physiological ketosis, up",Metabolic Regulation,placenta,Placenta/Decidua,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Preeclampsia,Reproductive & Pregnancy,"mean arterial pressure, down","Blood pressure, down","1,3-butanediol (20% via drinking water)","1,3-Butanediol (BD)",NS
34925696,0,mice; primary hepatocytes; Raw264.7 cells,animal; in vitro,Animal – Mouse; In vitro – Primary cells; In vitro – Immortalized cell line,"immunosuppression, up",Inflammation & Immune Response,liver,Liver,macrophages,Hematopoietic / Immune,Macrophages,NS,Unspecified / Generic,NS,Sepsis,Infectious,"immune response, down","Inflammation, down",NS,NS,NS
34936508,0,high-fat diet-fed obese mice; genetically obese db/db mice; normal mice,animal,Animal – Mouse,"Fermicutes/Bacteroidetes ratio, down",Metabolic Regulation,lung,Lung,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Multi-disease,"methacholine hyperresponsiveness, down","Airway hyperresponsiveness, down",ketogenic diet; ketone ester dietary supplement; ketone ester administration,Ketogenic diet (endogenous); Ketone ester (KE),NS
34966291,0,recreational male distance runners,human,Human – Observational/Patient samples,"CO2 retention, down",Ion & Nutrient Transport,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"cognition, no-change","Cognition, no-change",exogenous ketone ester (KME; 573 mg⋅kg(-1)),Ketone ester (KE); NS,NS
34979900,PES1; EP300; SREBF1; FASN; SCD; CASP1; NLRP3; GSDMD; IL1B; IL18,Male C57BL/6J mice; KKA(y) mice; McArdle 7777 cells; liver-conditional knockout (CKO) of Pes1 in vivo,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line; Animal – Other Mammal,"CHOP binding to Pes1 promoters, down",Epigenetic Regulation,liver,Liver,hepatocytes,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,NS,Unspecified / Generic,NS,Type 2 diabetes mellitus,Metabolic & Endocrine,"lipid dysregulation, improved; hepatic and plasma triglycerides, down","Lipid profile, improved; Triglycerides, down",ketogenic diet (KD); beta-hydroxybutyric acid (beta-HB),Ketogenic diet (endogenous); Exogenous BHB (unspecified/free acid),NS
35046401,HADHA; 0; HDAC7; FOXO1,mice; HFD-fed mice,animal,Animal – Mouse,"HDAC7 activity, down",Epigenetic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Diabetes mellitus,Metabolic & Endocrine,"metabolic disorders, improved","Metabolic disorders, improved",ketone body production via beta-oxidation,Ketogenic diet (endogenous),NS
35053157,0,2900 deaths (2013–2019); 1069 DKA/AKA/HHS/hypothermia/diabetes/alcoholism/acidosis cases without BHB analysis,human,NS; Human – Observational/Patient samples,"detection, up",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetic ketoacidosis; nan; Hypothermia; Diabetes mellitus; Acidosis,Metabolic & Endocrine; Other / Unspecified; General Signs & Symptoms,"deaths by AKA, up; deaths by acidosis, up; deaths by alcoholism, no-change; deaths by DKA, no-change; deaths by hypothermia, no-change","Mortality, up; Mortality, no-change",NS,NS,NS
3508236,0,20-day-old rats; hyperketonemic rats,animal,Animal – Rat,"glucose utilization, down",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-beta-hydroxybutyrate (10 mmol/kg) intraperitoneal injection,Exogenous BHB (unspecified/free acid),racemic
35150142,0,GSDV patients; healthy controls,human,Human – Observational/Patient samples,"lipolysis inhibition, down",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Glycogen storage disease type V,Genetic / Congenital,"exercise capacity, no-change","Endurance capacity, no-change",D-beta-hydroxybutyrate esters (KE),Multi-source,D-BHB
3516834,0,nine healthy volunteers,human,Human – Observational/Patient samples,"hepatic and peripheral glucose metabolism, no-change",Multiple mechanisms,hepatic,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"glucose uptake, no-change; basal glucose production, no-change; suppression of hepatic glucose production, no-change","Glucose uptake, no-change; Blood glucose, no-change","sodium D,L-beta-hydroxybutyrate (15 mumol X kg-1 X min-1)",Exogenous BHB (unspecified/free acid),racemic
35180190,0; AMY1A; IL1B,14 professional firefighters,human,Human – Observational/Patient samples,"cognitive role, positive",Other / Unspecified,saliva,Salivary gland,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone monoester (KME; 0.5 g.kg-1),Ketone ester (KE); NS,NS
35198055,GCKR; SLC16A1,primary cultures of tanycytes; hypothalamic slices; GKRP(t)-OE mice; GKRP(t)-KD mice; GKRP(t)-OE rats,animal; in vitro,In vitro – Primary cells; Ex vivo – Tissue/Organ explant or slice; Animal – Mouse; Animal – Rat,"POMC neuronal excitability, down",Neurotransmission & Neuronal Plasticity,arcuate nucleus,Brain/CNS,tanycytes,Neural / Glial,Neural stem/progenitors (NSC/NPC),NS,Unspecified / Generic,NS,Obesity,Metabolic & Endocrine,"post-fasting food avidity, up","Appetite, up",NS,NS,NS
35213817,0,recreationally active men (n=13),human,Human – Observational/Patient samples,"blood ketones, up",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"endurance exercise performance, up","Endurance capacity, up",ketone salts,Ketone salt (KS),NS
35264201,NLRP3; HDAC1,NS,NS,NS,"NLRP3 inflammasome deactivation, down",Inflammation & Immune Response,bone,Bone,osteoclast,Bone & Cartilage,Osteoclasts,NS,Unspecified / Generic,NS,Aseptic loosening,Musculoskeletal & Connective Tissue,"osteolysis, down","Bone resorption, down",NS,NS,NS
35334826,BDNF,male Wistar rats; rat L6 myoblasts,animal; in vitro,Animal – Rat; Multi-model,"transcriptional induction, up",Epigenetic Regulation,gastrocnemius muscle,Skeletal muscle,L6 myoblasts,Muscle – Skeletal,Myoblasts,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
35339899,0,AP clinical cohorts; caerulein-induced AP mouse models (Cer*7; Cer*12),human; animal; in vitro,Human – Observational/Patient samples; Animal – Mouse; NS,"class I histone deacetylases, NS",Epigenetic Regulation,pancreas,Pancreas,proinflammatory macrophages,Hematopoietic / Immune,Macrophages,mitochondria,Mitochondria,Unspecified,Pancreatitis,Gastrointestinal & Hepatobiliary,"severity, down","Seizure severity, down","betaOHB; 1,3-butanediol","NS; 1,3-Butanediol (BD)",NS
35340211,FOXO3; MT2A; 0,LPS (20 mg/kg)-induced septic cardiomyopathy in mice; LPS-stimulated macrophage-conditioned medium (MCM),animal; in vitro,Animal – Mouse; In vitro – Primary cells,"FoxO3a/MT2 pathway activation, up",Cell Death & Survival,mouse hearts,Heart,macrophage,Hematopoietic / Immune,Macrophages,mitochondria,Mitochondria,Unspecified,Cardiomyopathy,Cardiovascular,"heart performance, up","Cardiac function, up","D-beta-hydroxybutyrate-(R)-1,3 butanediol monoester (ketone ester, 3 mg/g body weight, once daily) by gavage for three days",Multi-source,D-BHB
35352108,LEAP2,mice (prolonged fasting; prolonged ketogenic diet; oral BHB treatment); isolated murine hepatocytes; humans (lean and obese individuals; endurance exercise recovery),animal; human; in vitro,Animal – Mouse; Human – Interventional; NS; Human – Observational/Patient samples,"downregulation, down",Other / Unspecified,liver,Liver,hepatocytes,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",oral BHB treatment,Exogenous BHB (unspecified/free acid),NS
35409148,ABCA1; ABCG1; SCARB1,ApoE(-/-) mice fed Western diet; macrophages (in vitro),animal; in vitro,Animal – Mouse; In vitro – Primary cells,"cholesterol transporter protein levels, up",Ion & Nutrient Transport,atherosclerosis plaques,Vasculature,macrophages,Hematopoietic / Immune,Macrophages,NS,Unspecified / Generic,NS,Atherosclerosis,Cardiovascular,"lipid accumulation, nan; foam cell formation, down","Lipid profile, nan; Foam cell formation, down",in vivo or in vitro treatment; increased serum BHB after exercise,NS,NS
35422042,IL4R; IL10; ARG1; 0; STAT6,colonic mucosa of IBD patients; healthy controls; murine model of acute dextran sulfate sodium (DSS)-induced colitis; bone marrow-derived macrophages (BMDMs); IL-4-stimulated macrophages,human; animal; in vitro,Human – Observational/Patient samples; Animal – Mouse; In vitro – Primary cells,"STAT6-dependent signaling pathway, up",Inflammation & Immune Response,colonic mucosa,Large intestine/Colon,macrophage (bone marrow-derived macrophages),Hematopoietic / Immune,Macrophages,NS,Unspecified / Generic,NS,Inflammatory bowel disease; Dextran sulfate sodium-induced colitis,Autoimmune & Inflammatory,"weight loss, down; disease activity index, down; colon shortening, down; histology scores, down; crypt loss, down; epithelium damage, down","Body weight, down; Disease activity index (DAI), down; Colon length, down; Histology score, down; Crypt loss, down; Epithelial damage, down",exogenous BHB,Exogenous BHB (unspecified/free acid),NS
35433045,NLRP3; CASP1; IL1B; KAT2A,young healthy humans,human,Human – Observational/Patient samples,"NLRP3 inflammasome suppression, no-change",Inflammation & Immune Response,blood,Blood,monocyte,Hematopoietic / Immune,Monocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",C(8) medium-chain triglyceride (trioctanoin; MCT) oil,MCT / Medium-chain fats,NS
35487576,0,professional male rugby union players,human,Human – Observational/Patient samples,"fuel metabolism, down",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"high-intensity running performance, up; sprint and power-based performance, no-change","Exercise capacity, up; Exercise capacity, no-change",beta-hydroxybutyrate monoester (BHB-ME),Multi-source,NS
35500286,GLO1; 0,mice,animal,Animal – Mouse,"MGO detoxification, up",Metabolic Regulation,spinal dorsal horn,Spinal cord,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Nociception,General Signs & Symptoms,"nociception, down","Pain sensitivity, down",ketogenic diet; beta-HB,Ketogenic diet (endogenous); NS,NS
35507699,GCG; 0,NS,NS,NS,"reduction in serum glucagon, down",Hormonal Regulation,blood/serum,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Antipsychotic-induced hyperglycemia,Metabolic & Endocrine,"hyperglycaemia, no-change","Blood glucose, no-change",beta-hydroxybutyrate (betaHB),Exogenous BHB (unspecified/free acid),NS
3551178,0,preimplantation mouse embryos,in vitro; animal,Animal – Mouse,"embryotoxicity, up",Cell Death & Survival,preimplantation embryo,Systemic/Whole organism,blastocyst,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"blastocyst development, down","Development, down",NS,NS,NS
35513524,PPARA; PPARGC1A; STK11; 0; NFE2L2; CAT; UCP2,neonatal rat cardiomyocytes; Fgf21(-/-) mice; cmFgf21(-/-) mice; wild-type (WT) mice; Fgf21(fl/fl) littermates,animal; in vitro,Animal – Rat; Animal – Mouse,"PPARalpha activation, up",Metabolic Regulation,heart,Heart,neonatal rat cardiomyocytes,Muscle – Cardiac,Cardiomyocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"oxidative stress response gene expression, up","Oxidative stress, up",NS,NS,NS
35550189,0; LOXL2; FN1; ZFP36,obese mice fed a high fat diet; primary cultured murine adipose progenitors; 3T3-L1 fibroblasts; patients with obesity eligible for bariatric surgery (30 patients),animal; in vitro; human,Animal – Mouse; Multi-model; In vitro – Immortalized cell line; Human – Observational/Patient samples,"ZFP36-mediated mRNA degradation, up",Epigenetic Regulation,adipose tissue,Adipose tissue,adipose progenitors,Stem / Progenitor / Pluripotent,Tissue-specific progenitors (unspecified),NS,Unspecified / Generic,NS,Adipose tissue fibrosis,Metabolic & Endocrine,"adipose tissue fibrotic score, down","Fibrosis, down",circulating beta-hydroxybutyrate levels,Exogenous BHB (unspecified/free acid),NS
35582986,PRKACA; BDNF; CREB1; BCL2; BAX; CASP3; CYCS,heat-stressed mice,animal,Animal – Mouse,"mitochondrial membrane potential, up",Mitochondrial Function & Bioenergetics,NS,NS,neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Heat stress,Toxicology / Poisoning,"cognitive and learning abilities, up","Cognition, up",ethyl beta-hydroxybutyrate (HBET),Exogenous BHB (unspecified/free acid),NS
35584694,0; TP53,muscle stem cells (MuSCs),NS,In vitro – Primary cells,"HDAC inhibition, up",Epigenetic Regulation,muscle,Skeletal muscle,muscle stem cells (MuSCs),Muscle – Skeletal,Satellite cells,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"muscle regeneration, down","Muscle regeneration, down",endogenously produced during fasting or a ketogenic diet or exogenously administered,Multi-source,NS
35592114,SLC16A1; 0; BDNF,female mice; ovariectomized mice,animal,Animal – Mouse,"HDAC reduction, down",Epigenetic Regulation,cerebral cortex; hippocampus,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"motor and cognitive behaviors, up","Motor function, up",NS,NS,NS
35595517,AGRP,wild-type mice; GPR109A knockout mice; isolated chromaffin cells; adrenal slices,animal; in vitro,Animal – Mouse; In vitro – Primary cells; Ex vivo – Tissue/Organ explant or slice,"GPR109A activation, up",Inflammation & Immune Response,adrenal medulla,Adrenal gland,chromaffin cells,Endocrine (non-pancreatic),Adrenal chromaffin cells,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",a ketone body,NS,NS
35614576,0,trained endurance athletes; CHO; Ex Ket; End Ket,human,Human – Observational/Patient samples; In vitro – Immortalized cell line; NS,"fat oxidation, up",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"exercise capacity, up; exercise capacity, down; postprandial insulin sensitivity, down","Endurance capacity, up; Endurance capacity, down; Insulin sensitivity, down",ketone drink four-times daily; ketogenic diet,NS; Ketogenic diet (endogenous),NS
35649469,0,HRECs; wildtype mice; HCAR2/GPR109A knockout mice,animal; in vitro,In vitro – Primary cells; Animal – Mouse,"HCAR2/GPR109A-dependent protection, up",Inflammation & Immune Response,retina,Eye/Retina,human retinal endothelial cells (HRECs),Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,Diabetic retinopathy,Ophthalmologic,"barrier integrity, up; retinal function, up","BBB integrity, up; Visual function, up",HCAR2/GPR109A-specific agonist; intraperitoneal,NS; Intraperitoneal BHB,NS
35674929,0,mouse; unilateral middle cerebral artery occlusion (90 min),animal,Animal – Mouse; Animal – Other Mammal,"mitochondrial respiration, up",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Transient ischemic attack,Cerebrovascular / Stroke,"neurological score, up","Neurological deficit score, up",BHB (30 mg/kg),NS,NS
35771216,NPPA,11 well-trained male cyclists,human,Human – Observational/Patient samples,"NT-pro ANP secretion, down",Hormonal Regulation,atrium,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"urine output, down","Urine output, down",ketone ester (R)-3-hydroxybutyl (R)-3-hydroxybutyrate (KE),Ketone ester (KE),NS
3577809,0,rat portal vein,animal; in vitro,Animal – Rat,"glycogenolysis, up",Metabolic Regulation,portal vein,Vasculature,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate (3 mM) as substrate,Exogenous BHB (unspecified/free acid),NS
3579962,0,pigeon; rat heart mitochondria,animal; in vitro,Animal – Other Mammal; Animal – Rat,"limitation of tricarboxylic acid cycle flux, down",Mitochondrial Function & Bioenergetics,heart,Heart,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
35847595,0,rat model of cardiac arrest (asphyxia),animal,Animal – Rat,"mitochondrial fission, down",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Ischemic stroke,Cerebrovascular / Stroke,"neurological function, up","Neurological deficit score, up",200 mg/kg beta-HB by intraperitoneal injection,Intraperitoneal BHB,NS
35856159,0,mouse embryos,animal; in vitro,Animal – Mouse,"glycolytic metabolism, up",Metabolic Regulation,preimplantation embryo,Systemic/Whole organism,trophectoderm,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"post-transfer viability, down","Cell viability, down",embryo culture media,In vitro media supplementation,NS
35871064,0; LDLR,"18 adults with prediabetes (6 women, 12 men)",human,Human – Observational/Patient samples,"actions on triglyceride-rich lipoproteins, NS",Metabolic Regulation,plasma,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Prediabetes,Metabolic & Endocrine,"remnant cholesterol, down; triglycerides, down","Lipid profile, down; Triglycerides, down",Ketone monoester beta-hydroxybutyrate (KEbetaHB) drink,Multi-source,NS
35875426,0; CS,SH-SY5Y,in vitro,In vitro – Immortalized cell line,"mitochondrial function, up",Mitochondrial Function & Bioenergetics,neurons,NS,SH-SY5Y,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"neuron damage, down","Brain injury, down",ketone (beta-hydroxybutyrate; bOHB),Exogenous BHB (unspecified/free acid); NS,NS
35894849,HDAC9,CKD patients; CKD rats; VitD3-overloaded mice; human VSMCs; arterial rings; aortic rings,human; animal; in vitro,Human – Observational/Patient samples; Animal – Rat; Animal – Mouse; In vitro – Primary cells; Ex vivo – Tissue/Organ explant or slice,"HDAC9 expression, down",Epigenetic Regulation,vasculature,Vasculature,vascular smooth muscle cells (VSMCs),Muscle – Smooth / Perivascular,Vascular smooth muscle cells (VSMC),NS,Unspecified / Generic,NS,Chronic kidney disease,Renal & Urological,"vascular calcification, down","Vascular calcification, down","1,3-butanediol (1,3-B)","1,3-Butanediol (BD)",NS
35898407,SNTA1; AQP4,PDN rats modeled under high-fat and high-glucose diet with low-dose streptozotocin; mice models with Alzheimer's disease,animal,Animal – Rat; Animal – Mouse,"restoration of AQP4 polarity, restored",Ion & Nutrient Transport,spinal glymphatic system,Spinal cord,astrocytes,Neural / Glial,Astrocytes,NS,Unspecified / Generic,NS,Diabetic neuropathy,Metabolic & Endocrine,"mechanical allodynia, down","Mechanical allodynia, down",NS,NS,NS
35901960,IFNG,individuals with SARS-CoV-2-induced ARDS; individuals with influenza-induced ARDS; mice infected with SARS-CoV-2,human; animal,Human – Observational/Patient samples; Animal – Mouse,"OXPHOS fueling, up",Mitochondrial Function & Bioenergetics,lung,Lung,CD4(+) T cells,Unspecified / Mixed,Mixed cell population,NS,Unspecified / Generic,NS,nan,Multi-disease,"mortality, down","Mortality, down",ketogenic diet; ketone ester drink,Ketogenic diet (endogenous); Ketone ester (KE),NS
35902007,0,LPS-induced sepsis; mice,animal,NS; Animal – Mouse,"inflammation, down",Inflammation & Immune Response,heart,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Sepsis,Infectious,"organ dysfunction, down","Organ function, down",exogenous ketone ester (KE),Ketone ester (KE),NS
35940076,NLRP3; IL1B; IL18; BAX; CASP3; 0,C57BL/6 male mice; HK-2 cells,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"NLRP3 inflammasome inhibition, down",Inflammation & Immune Response,kidney,Kidney,proximal tubular epithelial cell (HK-2),Epithelial – Renal & Urothelial,Renal tubular epithelial,NS,Unspecified / Generic,NS,Acute kidney injury,Renal & Urological,"serum creatinine, nan; blood urea nitrogen, nan; tubular injury, down","Serum creatinine, nan; BUN, nan; Kidney function, down",beta-hydroxybutyric acid (BHB),Exogenous BHB (unspecified/free acid),NS
35986508,0; FBXO32,10 healthy male volunteers,human,Human – Interventional,"skeletal muscle protein turnover, no-change",Metabolic Regulation,skeletal muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",sodium-BHB,Ketone salt (KS),NS
35995402,HMGCS2; FGF21; 0,HFD-induced obese mice; surgical destabilization of the medial meniscus (osteoarthritis model),animal,Animal – Mouse,"histone beta-hydroxybutyrylation, up",Epigenetic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Osteoarthritis,Musculoskeletal & Connective Tissue,"NS, nan","NS, nan",ketogenic diet (KD),Ketogenic diet (endogenous),NS
35995971,0,fasting healthy participants (anterior cingulate cortex; N=16); fasting healthy participants (posterior cingulate cortex; N=26),human,Human – Observational/Patient samples; NS,"neurotransmitter levels, down",Neurotransmission & Neuronal Plasticity,cortex,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Aging,Aging & Frailty,"NS, nan","NS, nan",d-beta-hydroxybutyrate (D-betaHB) monoester,Multi-source,D-BHB
